Base EAN13,Digito verificador,Código de Barras,Producto,Marca,Modelo,Cantidad a la mano,Atributo,Valores Atributo,Venta con IVA,Venta sin IVA,SKU Proveedor,Largo Envio,Ancho Envio,Alto Envio,Peso completo,Dimensiones Producto,Material,Proveedor,Precio de Costo,# Variantes de producto,Observaciones,Descripción para el sitio web,Descripción SEO,Referencia interna,Nombre Base,Nombre Comercial,Categoría de Punto de venta,Subcategoría,Volumen,Imagen,Categoría del Producto,Está Publicado,Rastrear Inventario,Etiquetas,Sitio web,Disponible en PdV
780999003027,0,7809990030270,Camara,Ralco,27.5,3,Valvula,Auto,"$4,800","$4,034",,140,80,55,300,1.95/2.125,Butilo,No registra,"$3,692",1,,"Cámara Ralco para bicicleta, pensada para ruedas aro 27.5 como repuesto de mantenimiento y reemplazo. Útil para reemplazar una cámara dañada y seguir rodando: revisa que corresponda a tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Camara Marca Ralco Aro 27.5 Variante Válvula: Auto Material Butilo Dimensiones Producto 1.95/2.125","Cámara Ralco aro 27.5 para bicicleta, pensada como repuesto práctico para uso frecuente. Ideal para reemplazo y mantenimiento.",CAM-RAL-275-A,Camara Ralco Aro 27.5,Camara Ralco Aro 27.5x1.95/2.125 Válvula Auto,Repuestos,Neumáticos y Cámaras,616000,https://clubike.cl/imagenes/CAM-RAL-275-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003028,7,7809990030287,Camara,Arisun,700,2,Valvula,Francesa 48 mm,"$4,700","$3,950",,130,80,40,130,18/25C,Butilo,No registra,"$3,615",1,,"Cámara Arisun para bicicleta, pensada para ruedas aro 700 como recambio de mantenimiento y reemplazo. Una alternativa práctica para tener como repuesto: verifica que corresponda a tu rueda y realiza la instalación con cuidado durante el montaje. Especificaciones Técnicas Tipo de producto Camara Marca Arisun Aro 700 Variante Válvula: Francesa 48 mm Material Butilo Dimensiones Producto 18/25C","Cámara Arisun aro 700 para bicicleta, ideal como repuesto para mantenimiento y uso diario. Útil para reemplazar una cámara dañada y volver a rodar.",CAM-ARI-700-F,Camara Arisun Aro 700,Camara Arisun Aro 700x18/25C Válvula Francesa 48 mm,Repuestos,Neumáticos y Cámaras,416000,https://clubike.cl/imagenes/CAM-ARI-700-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003029,4,7809990030294,Camara,Vtech,26,2,Válvula,Francesa 48 mm,"$5,990","$5,034",,155,80,52,150,1.5/1.75,Butilo,No registra,"$4,608",1,,"Cámara Vtech para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Recomendada como recambio para tener a mano: confirma que corresponda a tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Camara Marca Vtech Aro 26 Variante Válvula: Francesa 48 mm Material Butilo Dimensiones Producto 1.5/1.75","Cámara Vtech aro 26 para bicicleta, pensada como repuesto práctico para tus salidas. Ideal para reemplazo y mantenimiento.",CAM-VTE-26-F,Camara Vtech Aro 26,Camara Vtech Aro 26x1.5/1.75 Válvula Francesa 48 mm,Repuestos,Neumáticos y Cámaras,644800,https://clubike.cl/imagenes/CAM-VTE-26-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003030,0,7809990030300,Camara,Vee Rubber,26,3,Válvula,Auto,"$7,990","$6,714",,205,90,61,400,2.35/2.65,Butilo,No registra,"$6,146",1,,"Cámara Vee Rubber para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Útil para tener como recambio en tus salidas o en casa: verifica que corresponda a tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Cámara Marca Vee Rubber Aro 26 Variante Válvula: Auto Material Butilo Dimensiones Producto 2.35/2.65","Cámara Vee Rubber aro 26 para bicicleta, pensada como repuesto práctico para uso diario. Ideal para reemplazo y mantenimiento.",CAM-VEE-26-A,Camara Vee Rubber Aro 26,Camara Vee Rubber Aro 26x2.35/2.65 Válvula Auto,Repuestos,Neumáticos y Cámaras,1125450,https://clubike.cl/imagenes/CAM-VEE-26-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003031,7,7809990030317,Camara,Rallex,29,6,Válvula,Auto 48mm,"$5,000","$4,202",,140,60,50,300,2.3/2.5,Butilo,No registra,"$3,846",2,,"Cámara Rallex para bicicleta, pensada para ruedas aro 29 como repuesto de mantenimiento y reemplazo. Útil para tener como recambio en tus salidas o en casa: verifica que corresponda a tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Cámara Marca Rallex Aro 29 Variante Válvula: Auto 48mm Material Butilo Dimensiones Producto 2.3/2.5","Cámara Rallex aro 29 para bicicleta, pensada como repuesto práctico para uso diario. Ideal para reemplazo y mantenimiento.",CAM-RAL-29-A,Camara Rallex Aro 29,Camara Rallex Aro 29x2.3/2.5 Válvula Auto 48mm,Repuestos,Neumáticos y Cámaras,420000,https://clubike.cl/imagenes/CAM-RAL-29-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003032,4,7809990030324,Camara,Rallex,29,3,Válvula,Francesa 60mm,"$5,000","$4,202",,140,60,50,300,2.3/2.5,Butilo,No registra,"$3,846",2,,"Cámara Rallex para bicicleta, pensada para ruedas aro 29 como repuesto de mantenimiento y reemplazo. Útil para tener como recambio en tus salidas o en casa: verifica que corresponda a tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Cámara Marca Rallex Aro 29 Variante Válvula: Francesa 60mm Material Butilo Dimensiones Producto 2.3/2.5","Cámara Rallex aro 29 para bicicleta, pensada como repuesto práctico para uso diario. Ideal para reemplazo y mantenimiento.",CAM-RAL-29-F,Camara Rallex Aro 29,Camara Rallex Aro 29x2.3/2.5 Válvula Francesa 60mm,Repuestos,Neumáticos y Cámaras,420000,https://clubike.cl/imagenes/CAM-RAL-29-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003033,1,7809990030331,Camara,Rallex,26,1,Válvula,Auto 48mm,"$5,000","$4,202",,140,60,50,300,2.3/2.5,Butilo,No registra,"$3,846",1,,"Cámara Rallex para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Útil para tener como recambio en tus salidas o en casa: verifica que corresponda a tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Cámara Marca Rallex Aro 26 Variante Válvula: Auto 48mm Material Butilo Dimensiones Producto 2.3/2.5","Cámara Rallex aro 26 para bicicleta, pensada como repuesto práctico para uso diario. Ideal para reemplazo y mantenimiento.",CAM-RAL-26-A,Camara Rallex Aro 26,Camara Rallex Aro 26x2.3/2.5 Válvula Auto 48mm,Repuestos,Neumáticos y Cámaras,420000,https://clubike.cl/imagenes/CAM-RAL-26-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003034,8,7809990030348,Camara,Bianchi,26,1,Válvula,Auto,"$4,000","$3,361",,225,115,61,281,,Butilo,No registra,"$3,077",1,,"Cámara Bianchi para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Útil para llevar como recambio o mantener en casa: revisa la compatibilidad con tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Cámara Marca Bianchi Aro 26 Variante Válvula: Auto Material Butilo","Cámara Bianchi aro 26 para bicicleta, ideal como repuesto para mantenimiento y uso diario. Útil para reemplazar una cámara dañada y volver a rodar.",CAM-BIA-26-A,Camara Bianchi Aro 26,Camara Bianchi Aro 26x Válvula Auto,Repuestos,Neumáticos y Cámaras,1578375,https://clubike.cl/imagenes/CAM-BIA-26-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003035,5,7809990030355,Camara,MAVIC,26,4,Válvula,Auto,"$3,300","$2,773",,130,70,50,192,1.75/2.35,Butilo,No registra,"$2,538",1,,"Cámara MAVIC para bicicleta, pensada para ruedas aro 26 como repuesto de mantenimiento y reemplazo. Útil para llevar como recambio o mantener en casa: revisa la compatibilidad con tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Cámara Marca MAVIC Aro 26 Variante Válvula: Auto Material Butilo Dimensiones Producto 1.75/2.35","Cámara MAVIC aro 26 para bicicleta, ideal como repuesto para mantenimiento y uso diario. Útil para reemplazar una cámara dañada y volver a rodar.",CAM-MAV-26-A,Camara MAVIC Aro 26,Camara MAVIC Aro 26x1.75/2.35 Válvula Auto,Repuestos,Neumáticos y Cámaras,455000,https://clubike.cl/imagenes/CAM-MAV-26-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003036,2,7809990030362,Camara,Arisun,29,5,Valvula,Francesa 48 mm,"$6,800","$5,714",,135,81,60,260,1.75/2.35,Butilo,No registra,"$5,231",1,,"Cámara Arisun para bicicleta, pensada para ruedas aro 29 como repuesto de mantenimiento y reemplazo. Útil para llevar como recambio o mantener en casa: revisa la compatibilidad con tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Cámara Marca Arisun Aro 29 Variante Válvula: Francesa 48 mm Material Butilo Dimensiones Producto 1.75/2.35","Cámara Arisun aro 29 para bicicleta, ideal como repuesto para mantenimiento y uso diario. Útil para reemplazar una cámara dañada y volver a rodar.",CAM-ARI-29-F,Camara Arisun Aro 29,Camara Arisun Aro 29x1.75/2.35 Válvula Francesa 48 mm,Repuestos,Neumáticos y Cámaras,656100,https://clubike.cl/imagenes/CAM-ARI-29-F.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
780999003037,9,7809990030379,Camara,Best,29,5,Válvula,Auto 48mm,"$5,400","$4,538",18476,150,85,60,260,1.95/2.125,Butilo,Andes Industrial,"$2,690",1,,"Cámara Best para bicicleta, pensada para ruedas aro 29 como repuesto de mantenimiento y reemplazo. Útil para llevar como recambio o mantener en casa: revisa la compatibilidad con tu rueda y realiza el montaje con cuidado. Especificaciones Técnicas Tipo de producto Cámara Marca Best Aro 29 Variante Válvula: Auto 48mm Material Butilo Dimensiones Producto 1.95/2.125","Cámara Best aro 29 para bicicleta, ideal como repuesto para mantenimiento y uso diario. Útil para reemplazar una cámara dañada y volver a rodar.",CAM-BES-29-A,Camara Best Aro 29,Camara Best Aro 29x1.95/2.125 Válvula Auto 48mm,Repuestos,Neumáticos y Cámaras,765000,https://clubike.cl/imagenes/CAM-BES-29-A.jpg,Repuestos / Neumáticos y Cámaras,1,1,"Mantenimiento, Reparación",Clubike,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
